PSC,1515,Energy In The Natural Environment,3,Investigation of the physical environment using energy as a theme to demonstrate the impact of science and technology on the environment and on the lives of people.   Special fee. (3 hr. lecture)
ACC,1001,Principles of Accounting,3,Accounting as a device for measuring business activity$ with emphasis on basic accounting procedures such as the recording of transactions and the preparation of financial statements. Other topics considered include inventories$ receivables$ depreciation$ accruals$ and payrolls. Prerequisite: Minimum test scores: SCAT 70 or FSWTO 250.
ACG,2011,Principles Of Accounting 2,3,Accounting for owners equity with emphasis on corporate financial statements. Other topics include plant assets$ intangible assets$ current and long-term liabilities. ACG 2001 and 2011 can be substituted for ACG 2021. Prerequisite: ACG 2001; corequisite: ACG 2011L. (3 hr. lecture)
ACG,2031,Accounting Theory,3,Designed primarily for the transferring accounting major$ the course covers current topics in both financial and managerial accounting. It exposes the student to a computerized accounting system. It also familiarizes the student with current accounting literature and includes a review of the preparation and analysis of financial statements. Prerequisites: ACG 2071. (3 hr. lecture)
ACG,2170,Financial Statement Analysis,3,Basic instruction in analyzing statements in order to make sound judgments on the financial condition of specific businesses. Prerequisite: ACG 2071. Special fee. (3 hr. lecture)
ACG,2001L,Principles Of Accounting 1 Lab,1,The student will use computer software and financial accounting applications to analyze accounting records and prepare financial statements. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2001. 
ACG,2450,Microcomputers In Accounting,1,Accounting application of electronic data processing including the preparation interpretation and use of computer information in financial decision making. Pre-/Co-requisite: ACG 2001 or ACG 2021. Special fee. (1-3 hr. lecture)
ACG,1949,Co-Op Work Experience 1: Acg,3,This is a course designed to provide training in a student's field of study through work experience. Students are graded on the basis of documentation of learning acquired as reported by student and employee. Prerequisite: Co-op Department approval. Students will be assigned specific course prefixes related to their academic major prior to registration. All students must contact the Cooperative Education Office to obtain registration approval. (3 hr. lecture)
ACG,2011L,Principles Of Accounting 2 Lab,1,The student will use computer software and financial accounting applications to analyze accounting records$ prepare financial statements$ and compile Excel spreadsheets. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2011. Prerequisite: ACG2001 $ ACG2001L ; Corequisite: ACG2011  ( 2 hr. lab )
ACG,2021L,Financial Accounting Lab,1,The student will use computer software and financial accounting applications to analyze accounting records and prepare financial statements. The student will learn$ with tutorial help and problem-solving$ the concepts needed to achieve the objectives of ACG2021. Corequisite: ACG2021 ( 2 hr. lab )
ACG,2949,Co-Op Work Experience 2: Acg,3,This is a course designed to continue training in a student's field of study through work experience. Students are graded on the basis of documentation of learning acquired as reported by student and employer. Prerequisite: Co-op Department approval and completion of 1949 Co-op Work Experience. Students will be assigned specific course prefixes related to their academic major prior to registration. All students must contact the Co-Operative Education Office to obtain registration approval. (3 hr. lecture)
ACG,2071,Managerial Accounting,3,Managerial Accounting focuses on the accounting information needs of the various levels of internal management within an organization. Internal responsibility is directed at three major areas of management responsibility: cost determination$ planning and control$ and long-term decision-making. Prerequisite: ACG 2011 and ACG 2001 or ACG 2021; corequisite: ACG 2071L. (48 Contact hrs.)
ACG,2360,Cost Accounting,3,A consideration of the accumulation$ interpretation and control of costs by the job order and the process cost systems. Includes the study of break-even analysis$ budgeting and other cost control techniques. Prerequisite: ACG 2071. Special fee. (3 hr. lecture)
